file,Essay Type,Country,Level,Temporal N,Temporal Mean,Contingency N,Contingency Mean,Comparison N,Comparison Mean,Expansion N,Expansion Mean,Explicit N,Explicit Mean,Implicit N,Implicit Mean,Conjunction N,Conjunction Mean,Condition N,Condition Mean,Cause N,Cause Mean,Concession N,Concession Mean,Asynchronous N,Asynchronous Mean,Alternative N,Alternative Mean,Contrast N,Contrast Mean,Restatement N,Restatement Mean,Synchrony N,Synchrony Mean,List N,List Mean,Instantiation N,Instantiation Mean,Pragmatic_condition N,Pragmatic_condition Mean,Exception N,Exception Mean,Pragmatic_contrast N,Pragmatic_contrast Mean,Pragmatic_concession N,Pragmatic_concession Mean,Pragmatic_cause N,Pragmatic_cause Mean,total lines
W_THA_SMK0_242_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.2,2,0.4,0,0,2,0.4,5,1,0,0,2,0.4,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_THA_SMK0_282_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,1,0.17,2,0.33,3,0.5,6,1,0,0,3,0.5,0,0,1,0.17,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_THA_PTJ0_075_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.17,4,0.33,1,0.08,5,0.42,12,1,0,0,4,0.33,0,0,4,0.33,1,0.08,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,12
W_THA_PTJ0_320_B1_1.txt.pipe,Jobs,THA,B1_1,1,0.1,6,0.6,1,0.1,2,0.2,10,1,0,0,2,0.2,0,0,6,0.6,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_THA_SMK0_255_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,2,0.17,3,0.25,7,0.58,12,1,0,0,7,0.58,0,0,2,0.17,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
W_THA_SMK0_333_B1_1.txt.pipe,Smoking,THA,B1_1,5,0.36,6,0.43,1,0.07,2,0.14,14,1,0,0,2,0.14,1,0.07,5,0.36,0,0,2,0.14,0,0,1,0.07,0,0,3,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W_THA_SMK0_302_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,10,0.62,0,0,6,0.38,16,1,0,0,5,0.31,2,0.12,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,16
W_THA_SMK0_281_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
W_THA_PTJ0_246_B1_1.txt.pipe,Jobs,THA,B1_1,1,0.12,3,0.38,2,0.25,2,0.25,8,1,0,0,0,0,2,0.25,1,0.12,1,0.12,0,0,0,0,1,0.12,0,0,1,0.12,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,8
W_THA_SMK0_131_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.09,9,0.82,0,0,1,0.09,11,1,0,0,1,0.09,3,0.27,6,0.55,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_THA_PTJ0_361_B1_1.txt.pipe,Jobs,THA,B1_1,5,0.42,3,0.25,1,0.08,3,0.25,12,1,0,0,3,0.25,1,0.08,2,0.17,0,0,0,0,0,0,1,0.08,0,0,5,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
W_THA_SMK0_168_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.14,5,0.36,2,0.14,5,0.36,14,1,0,0,4,0.29,1,0.07,4,0.29,0,0,0,0,1,0.07,2,0.14,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W_THA_PTJ0_338_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.13,7,0.47,3,0.2,3,0.2,15,1,0,0,3,0.2,1,0.07,6,0.4,1,0.07,1,0.07,0,0,2,0.13,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
W_THA_SMK0_112_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.09,4,0.36,2,0.18,4,0.36,11,1,0,0,3,0.27,2,0.18,2,0.18,0,0,0,0,0,0,2,0.18,0,0,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,11
W_THA_PTJ0_105_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.22,4,0.44,0,0,3,0.33,9,1,0,0,3,0.33,2,0.22,2,0.22,0,0,0,0,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
W_THA_PTJ0_308_B1_1.txt.pipe,Jobs,THA,B1_1,0,0,7,0.54,5,0.38,1,0.08,13,1,0,0,1,0.08,3,0.23,4,0.31,0,0,0,0,0,0,5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
W_THA_PTJ0_238_B1_1.txt.pipe,Jobs,THA,B1_1,0,0,1,0.33,0,0,2,0.67,3,1,0,0,0,0,0,0,1,0.33,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,3
W_THA_PTJ0_392_B1_1.txt.pipe,Jobs,THA,B1_1,0,0,6,0.6,1,0.1,3,0.3,10,1,0,0,2,0.2,4,0.4,2,0.2,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,10
W_THA_PTJ0_395_B1_1.txt.pipe,Jobs,THA,B1_1,1,0.14,1,0.14,0,0,5,0.71,7,1,0,0,4,0.57,0,0,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,7
W_THA_SMK0_385_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.12,3,0.38,0,0,4,0.5,8,1,0,0,4,0.5,0,0,3,0.38,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_THA_SMK0_246_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,5,0.45,1,0.09,5,0.45,11,1,0,0,3,0.27,3,0.27,2,0.18,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,2,0.18,0,0,0,0,0,0,0,0,0,0,11
W_THA_SMK0_352_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.18,4,0.36,4,0.36,1,0.09,11,1,0,0,1,0.09,0,0,4,0.36,0,0,0,0,0,0,4,0.36,0,0,2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_THA_PTJ0_020_B1_1.txt.pipe,Jobs,THA,B1_1,0,0,3,0.6,1,0.2,1,0.2,5,1,0,0,1,0.2,1,0.2,2,0.4,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_THA_SMK0_213_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,0,0,0,0,4,1,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
W_THA_SMK0_138_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.17,3,0.5,1,0.17,1,0.17,6,1,0,0,1,0.17,1,0.17,2,0.33,0,0,0,0,0,0,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_THA_PTJ0_286_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.2,5,0.5,0,0,3,0.3,10,1,0,0,3,0.3,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_THA_PTJ0_009_B1_1.txt.pipe,Jobs,THA,B1_1,3,0.21,8,0.57,1,0.07,2,0.14,14,1,0,0,2,0.14,2,0.14,6,0.43,0,0,0,0,0,0,1,0.07,0,0,3,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W_THA_SMK0_354_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.11,3,0.33,1,0.11,4,0.44,9,1,0,0,3,0.33,1,0.11,2,0.22,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,9
W_THA_SMK0_009_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.09,6,0.55,2,0.18,2,0.18,11,1,0,0,2,0.18,1,0.09,5,0.45,0,0,1,0.09,0,0,2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_THA_PTJ0_281_B1_1.txt.pipe,Jobs,THA,B1_1,1,0.17,3,0.5,0,0,2,0.33,6,1,0,0,2,0.33,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_THA_SMK0_381_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.06,10,0.59,2,0.12,4,0.24,17,1,0,0,3,0.18,4,0.24,6,0.35,0,0,0,0,1,0.06,2,0.12,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
