file,Essay Type,Country,TOEFL,,Edited?,ID,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
106i_AR_F_CHN_1_F_10213_PRD.txt.json,Argumentative,CHN,90,B2,1,10213,92,0.56,4,0.02,13,0.08,28,0.17,3,0.02,6,0.04,1,0.01,6,0.04,0,0,2,0.01,2,0.01,0,0,1,0.01,0,0,0,0,7,0.04,0,0,0,0,165
106i_AR_F_IDN_1_M_11046_PRD.txt.json,Argumentative,IDN,104,B2,1,11046,166,0.6,20,0.07,18,0.06,26,0.09,4,0.01,11,0.04,2,0.01,6,0.02,0,0,2,0.01,2,0.01,1,0,2,0.01,0,0,3,0.01,14,0.05,0,0,0,0,277
105_AR_F_USA_NA_NA_10658_NAU.txt.json,Argumentative,USA,91,C2,1,10658,248,0.61,26,0.06,38,0.09,38,0.09,5,0.01,10,0.02,0,0,9,0.02,0,0,1,0,13,0.03,4,0.01,0,0,0,0,1,0,12,0.03,0,0,0,0,405
106i_AR_F_CHN_1_F_10155_PRD.txt.json,Argumentative,CHN,84,B1_2,1,10155,93,0.7,6,0.05,11,0.08,2,0.02,1,0.01,2,0.02,0,0,6,0.05,0,0,1,0.01,4,0.03,0,0,1,0.01,0,0,0,0,6,0.05,0,0,0,0,133
106i_AR_1_KOR_1_M_10021_PRD.txt.json,Argumentative,KOR,99,B2,1,10021,53,0.85,4,0.06,0,0,4,0.06,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
106i_AR_F_CHN_1_F_10922_PRD.txt.json,Argumentative,CHN,96,B2,1,10922,114,0.7,6,0.04,6,0.04,10,0.06,3,0.02,6,0.04,0,0,8,0.05,0,0,0,0,4,0.02,0,0,2,0.01,0,0,0,0,3,0.02,0,0,0,0,162
106i_AR_1_CHN_1_F_11165_PRD.txt.json,Argumentative,CHN,NA,A2,1,11165,72,0.68,6,0.06,8,0.08,4,0.04,2,0.02,1,0.01,0,0,3,0.03,0,0,3,0.03,0,0,1,0.01,0,0,0,0,0,0,6,0.06,0,0,0,0,106
106i_AR_1_MLY_1_F_10115_PRD.txt.json,Argumentative,MLY,95,B2,1,10115,125,0.63,12,0.06,20,0.1,16,0.08,2,0.01,7,0.04,0,0,3,0.02,0,0,5,0.03,3,0.02,0,0,1,0.01,0,0,0,0,3,0.02,0,0,0,0,197
106i_AR_F_CHN_1_M_10326_PRD.txt.json,Argumentative,CHN,80,B1_2,1,10326,116,0.6,20,0.1,19,0.1,14,0.07,6,0.03,5,0.03,1,0.01,6,0.03,0,0,0,0,3,0.02,0,0,0,0,0,0,0,0,3,0.02,0,0,0,0,193
106i_AR_1_CHN_1_F_10503_PRD.txt.json,Argumentative,CHN,90,B2,1,10503,113,0.65,9,0.05,11,0.06,26,0.15,1,0.01,4,0.02,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.05,0,0,0,0,173
105_AR_F_NAN_NA_NA_10587_NAU.txt.json,Argumentative,NAN,NA,A2,F,10587,254,0.63,18,0.04,26,0.06,56,0.14,11,0.03,7,0.02,0,0,13,0.03,0,0,1,0,8,0.02,3,0.01,4,0.01,0,0,0,0,5,0.01,0,0,0,0,406
106i_AR_1_IND_1_M_10602_PRD.txt.json,Argumentative,IND,101,B2,1,10602,141,0.67,12,0.06,7,0.03,30,0.14,4,0.02,1,0,0,0,5,0.02,0,0,1,0,3,0.01,1,0,1,0,0,0,0,0,3,0.01,0,0,0,0,209
106i_AR_F_IND_1_F_11017_PRD.txt.json,Argumentative,IND,94,B2,1,11017,149,0.73,8,0.04,12,0.06,17,0.08,3,0.01,0,0,2,0.01,0,0,0,0,0,0,0,0,1,0,2,0.01,0,0,0,0,9,0.04,0,0,0,0,203
105_AR_F_USA_NA_NA_10686_NAU.txt.json,Argumentative,USA,NA,C2,F,10686,259,0.65,32,0.08,19,0.05,54,0.14,4,0.01,4,0.01,0,0,6,0.02,0,0,3,0.01,1,0,7,0.02,2,0.01,0,0,0,0,8,0.02,0,0,0,0,399
106i_AR_1_KOR_1_M_10124_PRD.txt.json,Argumentative,KOR,99,B2,1,10124,76,0.62,10,0.08,9,0.07,10,0.08,6,0.05,2,0.02,2,0.02,1,0.01,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,6,0.05,0,0,0,0,123
106i_AR_1_CHN_1_M_10297_PRD.txt.json,Argumentative,CHN,89,B2,1,10297,158,0.72,14,0.06,9,0.04,21,0.1,3,0.01,2,0.01,0,0,0,0,0,0,1,0,2,0.01,1,0,0,0,0,0,1,0,7,0.03,0,0,0,0,219
105_AR_F_USA_NA_NA_10724_NAU.txt.json,Argumentative,USA,NA,C2,F,10724,239,0.64,12,0.03,27,0.07,41,0.11,5,0.01,10,0.03,0,0,7,0.02,0,0,4,0.01,5,0.01,6,0.02,4,0.01,0,0,1,0,10,0.03,0,0,0,0,371
105_AR_F_USA_NA_NA_10652_NAU.txt.json,Argumentative,USA,NA,C2,F,10652,190,0.61,8,0.03,23,0.07,37,0.12,11,0.04,8,0.03,0,0,9,0.03,0,0,0,0,7,0.02,0,0,3,0.01,0,0,0,0,14,0.05,0,0,0,0,310
106i_AR_1_CHN_1_M_10057_PRD.txt.json,Argumentative,CHN,95,B2,1,10057,37,0.64,0,0,2,0.03,4,0.07,1,0.02,2,0.03,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0,0,0,0,0,9,0.16,0,0,0,0,58
105_AR_F_NAN_NA_NA_10525_NAU.txt.json,Argumentative,NAN,92,B2,1,10525,187,0.61,24,0.08,30,0.1,23,0.07,5,0.02,6,0.02,0,0,13,0.04,0,0,2,0.01,4,0.01,0,0,4,0.01,0,0,0,0,11,0.04,0,0,0,0,309
105_AR_F_NAN_NA_NA_10545_NAU.txt.json,Argumentative,NAN,NA,A2,F,10545,240,0.7,14,0.04,26,0.08,15,0.04,7,0.02,1,0,1,0,8,0.02,0,0,0,0,1,0,1,0,3,0.01,0,0,1,0,24,0.07,0,0,0,0,342
106i_AR_F_TWN_1_F_11094_PRD.txt.json,Argumentative,TWN,96,B2,1,11094,177,0.61,30,0.1,16,0.05,27,0.09,6,0.02,12,0.04,0,0,7,0.02,0,0,1,0,3,0.01,2,0.01,1,0,0,0,1,0,9,0.03,0,0,0,0,292
106i_AR_F_CHN_2_F_10991_PRD.txt.json,Argumentative,CHN,82,B1_2,1,10991,95,0.62,10,0.07,15,0.1,6,0.04,2,0.01,6,0.04,1,0.01,10,0.07,0,0,1,0.01,1,0.01,0,0,1,0.01,0,0,0,0,4,0.03,0,0,0,0,152
106i_AR_F_CHN_1_F_10469_PRD.txt.json,Argumentative,CHN,93,B2,1,10469,112,0.64,14,0.08,12,0.07,25,0.14,1,0.01,0,0,0,0,2,0.01,0,0,0,0,0,0,0,0,6,0.03,0,0,0,0,4,0.02,0,0,0,0,176
105_AR_F_USA_NA_NA_10644_NAU.txt.json,Argumentative,USA,104,C2,1,10644,253,0.61,17,0.04,25,0.06,61,0.15,6,0.01,15,0.04,3,0.01,8,0.02,0,0,2,0,11,0.03,1,0,4,0.01,0,0,0,0,8,0.02,0,0,0,0,414
106i_AR_1_CHN_1_M_10866_PRD.txt.json,Argumentative,CHN,87,B1_2,1,10866,86,0.55,14,0.09,7,0.04,22,0.14,7,0.04,3,0.02,0,0,7,0.04,0,0,1,0.01,1,0.01,0,0,4,0.03,0,0,0,0,4,0.03,0,0,0,0,156
105_AR_F_USA_NA_NA_10674_NAU.txt.json,Argumentative,USA,NA,C2,F,10674,192,0.71,10,0.04,19,0.07,18,0.07,5,0.02,4,0.01,0,0,9,0.03,0,0,0,0,3,0.01,3,0.01,3,0.01,0,0,0,0,6,0.02,0,0,0,0,272
106i_AR_F_FRA_1_M_11160_PRD.txt.json,Argumentative,FRA,NA,A2,F,11160,66,0.75,4,0.05,7,0.08,6,0.07,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,3,0.03,0,0,0,0,88
105_AR_F_USA_NA_NA_10659_NAU.txt.json,Argumentative,USA,101,C2,1,10659,228,0.68,4,0.01,18,0.05,46,0.14,9,0.03,6,0.02,0,0,3,0.01,0,0,1,0,3,0.01,3,0.01,5,0.01,0,0,0,0,8,0.02,0,0,0,0,334
105_AR_F_USA_NA_NA_10730_NAU.txt.json,Argumentative,USA,NA,C2,F,10730,311,0.66,35,0.07,17,0.04,65,0.14,6,0.01,6,0.01,0,0,14,0.03,0,0,1,0,2,0,0,0,2,0,0,0,0,0,9,0.02,0,0,0,0,468
105_AR_F_NAN_NA_NA_10596_NAU.txt.json,Argumentative,NAN,NA,A2,F,10596,219,0.58,28,0.07,33,0.09,32,0.09,24,0.06,2,0.01,1,0,9,0.02,0,0,0,0,7,0.02,1,0,4,0.01,0,0,0,0,15,0.04,0,0,0,0,375
106i_AR_1_CHN_1_F_10227_PRD.txt.json,Argumentative,CHN,89,B2,1,10227,81,0.73,2,0.02,10,0.09,2,0.02,0,0,5,0.05,1,0.01,2,0.02,0,0,0,0,1,0.01,0,0,1,0.01,0,0,0,0,6,0.05,0,0,0,0,111
106i_AR_F_CHN_1_M_11139_PRD.txt.json,Argumentative,CHN,NA,A2,1,11139,135,0.67,10,0.05,6,0.03,21,0.1,5,0.02,4,0.02,0,0,4,0.02,0,0,0,0,3,0.01,1,0,3,0.01,0,0,0,0,11,0.05,0,0,0,0,203
106i_AR_F_CHN_2_M_10739_PRD.txt.json,Argumentative,CHN,87,B1_2,1,10739,76,0.67,3,0.03,9,0.08,10,0.09,1,0.01,1,0.01,0,0,5,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.07,0,0,0,0,113
106i_AR_1_MLY_3_M_10164_PRD.txt.json,Argumentative,MLY,91,B2,1,10164,81,0.73,2,0.02,6,0.05,6,0.05,1,0.01,0,0,0,0,2,0.02,0,0,3,0.03,0,0,0,0,1,0.01,0,0,0,0,9,0.08,0,0,0,0,111
106i_AR_1_CHN_1_F_10149_PRD.txt.json,Argumentative,CHN,101,B2,1,10149,89,0.72,8,0.06,7,0.06,8,0.06,5,0.04,2,0.02,0,0,2,0.02,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,2,0.02,0,0,0,0,124
106i_AR_1_CHN_2_M_10074_PRD.txt.json,Argumentative,CHN,96,B2,1,10074,49,0.68,2,0.03,4,0.06,6,0.08,0,0,2,0.03,3,0.04,0,0,0,0,1,0.01,1,0.01,0,0,1,0.01,0,0,0,0,3,0.04,0,0,0,0,72
106i_AR_F_IND_1_M_10049_PRD.txt.json,Argumentative,IND,NA,A2,1,10049,149,0.6,28,0.11,19,0.08,4,0.02,0,0,10,0.04,3,0.01,5,0.02,0,0,10,0.04,2,0.01,0,0,1,0,0,0,0,0,16,0.06,0,0,0,0,247
