file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_VEN_1_M_10397_PRD.txt.pipe,Jobs,6i_,_M_1,10,0.53,1,0.05,2,0.11,6,0.32,19
106i_AR_F_CHN_1_M_10032_PRD.txt.pipe,Jobs,6i_,_M_1,13,0.23,11,0.2,7,0.12,25,0.45,56
105_AR_F_USA_NA_NA_10761_NAU.txt.pipe,Jobs,5_A,_NA_,6,0.12,14,0.27,16,0.31,16,0.31,52
106i_AR_F_CHN_1_F_10917_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.12,5,0.2,6,0.24,11,0.44,25
106i_AR_F_CHN_1_F_10117_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.03,9,0.26,8,0.24,16,0.47,34
105_AR_F_USA_NA_NA_10639_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.22,19,0.46,8,0.2,5,0.12,41
106i_AR_1_CHN_1_M_10436_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.2,6,0.24,5,0.2,9,0.36,25
106i_AR_F_CHN_1_M_10482_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.17,7,0.23,8,0.27,10,0.33,30
106i_AR_F_CHN_1_M_10307_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.18,7,0.14,12,0.24,21,0.43,49
106i_AR_F_CHN_1_M_10166_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.07,4,0.14,7,0.24,16,0.55,29
106i_AR_1_CHN_2_F_10992_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.22,4,0.22,3,0.17,7,0.39,18
106i_AR_1_CHN_1_M_10865_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.08,20,0.42,5,0.1,19,0.4,48
105_AR_F_NAN_NA_NA_10530_NAU.txt.pipe,Jobs,5_A,_NA_,4,0.07,13,0.21,9,0.15,35,0.57,61
106i_AR_F_CHN_2_M_10996_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.12,6,0.38,3,0.19,5,0.31,16
105_AR_F_USA_NA_NA_10625_NAU.txt.pipe,Jobs,5_A,_NA_,0,0.0,0,0.0,1,0.33,2,0.67,3
106i_AR_1_CHN_1_M_10857_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.11,10,0.26,11,0.29,13,0.34,38
106i_AR_1_IND_1_M_11115_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.4,0,0.0,5,0.25,7,0.35,20
105_AR_F_NAN_NA_NA_10582_NAU.txt.pipe,Jobs,5_A,_NA_,7,0.14,13,0.26,14,0.28,16,0.32,50
106i_AR_F_IND_1_M_10075_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.15,10,0.37,5,0.19,8,0.3,27
106i_AR_F_CHN_1_M_10136_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.22,10,0.2,13,0.27,15,0.31,49
106i_AR_F_CHN_1_F_10831_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,8,0.32,11,0.44,6,0.24,25
106i_AR_1_CHN_1_F_10203_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,4,0.25,4,0.25,8,0.5,16
106i_AR_F_HKG_1_M_11002_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.17,2,0.09,5,0.22,12,0.52,23
106i_AR_1_CHN_1_M_10132_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.29,0,0.0,7,0.25,13,0.46,28
106i_AR_1_CHN_1_F_11133_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.08,8,0.33,3,0.12,11,0.46,24
105_AR_F_USA_NA_NA_10630_NAU.txt.pipe,Jobs,5_A,_NA_,6,0.26,2,0.09,7,0.3,8,0.35,23
106i_AR_1_CHN_1_M_10505_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.45,4,0.2,3,0.15,4,0.2,20
106i_AR_1_CHN_1_M_10046_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,4,0.67,2,0.33,0,0.0,6
105_AR_F_USA_NA_NA_10649_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.33,10,0.21,16,0.33,6,0.12,48
106i_AR_1_UGA_1_F_11126_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.18,14,0.41,3,0.09,11,0.32,34
105_AR_F_NAN_NA_NA_10561_NAU.txt.pipe,Jobs,5_A,_NA_,4,0.06,17,0.26,9,0.14,35,0.54,65
106i_AR_1_KOR_1_M_10629_PRD.txt.pipe,Jobs,6i_,_M_1,0,0,0,0,0,0,0,0,0
106i_AR_1_CHN_1_F_10000_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.17,6,0.2,4,0.13,15,0.5,30
106i_AR_1_CHN_1_F_10937_PRD.txt.pipe,Jobs,6i_,_F_1,10,0.37,5,0.19,3,0.11,9,0.33,27
105_AR_F_USA_NA_NA_10670_NAU.txt.pipe,Jobs,5_A,_NA_,12,0.3,8,0.2,12,0.3,8,0.2,40
106i_AR_1_CHN_1_F_10504_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.24,2,0.1,5,0.24,9,0.43,21
106i_AR_1_CHN_1_M_10921_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.11,3,0.17,5,0.28,8,0.44,18
106i_AR_F_CHN_1_M_10321_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,6,0.29,7,0.33,6,0.29,21
106i_AR_F_CHN_1_M_10438_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.27,9,0.3,4,0.13,9,0.3,30
105_AR_F_USA_NA_NA_10737_NAU.txt.pipe,Jobs,5_A,_NA_,30,0.37,11,0.14,18,0.22,22,0.27,81
106i_AR_1_KOR_1_M_11076_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.12,9,0.26,6,0.18,15,0.44,34
106i_AR_1_KOR_1_F_11074_PRD.txt.pipe,Jobs,6i_,_F_1,10,0.29,7,0.21,12,0.35,5,0.15,34
106i_AR_1_CHN_1_M_10526_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.13,19,0.35,13,0.24,15,0.28,54
106i_AR_F_CHN_1_F_10197_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.2,6,0.3,2,0.1,8,0.4,20
106i_AR_F_IND_1_F_11017_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.2,2,0.2,1,0.1,5,0.5,10
106i_AR_1_CHN_1_F_10106_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.03,9,0.28,7,0.22,15,0.47,32
106i_AR_F_CHN_1_F_11141_PRD.txt.pipe,Jobs,6i_,_F_1,8,0.3,4,0.15,8,0.3,7,0.26,27
106i_AR_1_CHN_1_F_10088_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,3,0.5,2,0.33,1,0.17,6
106i_AR_F_MYS_1_F_10710_PRD.txt.pipe,Jobs,6i_,_F_1,17,0.4,6,0.14,7,0.17,12,0.29,42
106i_AR_1_CHN_1_F_10222_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.19,6,0.19,6,0.19,13,0.42,31
106i_AR_F_CHN_1_M_10016_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.21,9,0.32,6,0.21,7,0.25,28
106i_AR_F_MYS_2_M_10403_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.3,7,0.26,3,0.11,9,0.33,27
105_AR_F_NAN_NA_NA_10568_NAU.txt.pipe,Jobs,5_A,_NA_,13,0.24,13,0.24,11,0.2,18,0.33,55
106i_AR_F_CHN_2_F_10176_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.19,7,0.26,5,0.19,10,0.37,27
106i_AR_F_CHN_1_M_10142_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.18,4,0.18,9,0.41,5,0.23,22
105_AR_F_USA_NA_NA_10615_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.11,24,0.29,18,0.22,32,0.39,83
106i_AR_F_CHN_1_M_10847_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.26,13,0.3,7,0.16,12,0.28,43
106i_AR_F_CHN_1_M_10320_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.14,5,0.23,5,0.23,9,0.41,22
106i_AR_F_NA_2_F_10761_PRD.txt.pipe,Jobs,6i_,F_10,3,0.11,4,0.14,7,0.25,14,0.5,28
106i_AR_1_CHN_1_F_10214_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.15,7,0.27,7,0.27,8,0.31,26
106i_AR_1_CHN_1_F_10181_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.15,3,0.23,2,0.15,6,0.46,13
106i_AR_1_CHN_1_M_10321_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.06,4,0.24,7,0.41,5,0.29,17
106i_AR_F_CHN_1_F_10524_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.12,14,0.33,9,0.21,15,0.35,43
106i_AR_1_CHN_1_M_10335_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.12,3,0.18,4,0.24,8,0.47,17
106i_AR_1_CHN_2_M_10743_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.08,11,0.31,10,0.28,12,0.33,36
106i_AR_1_KOR_1_M_11068_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.1,12,0.29,9,0.21,17,0.4,42
106i_AR_1_IND_1_M_11011_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.35,4,0.17,1,0.04,10,0.43,23
106i_AR_1_RUS_1_F_10646_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.04,8,0.3,6,0.22,12,0.44,27
105_AR_F_USA_NA_NA_10758_NAU.txt.pipe,Jobs,5_A,_NA_,0,0.0,2,0.25,2,0.25,4,0.5,8
106i_AR_1_LEB_1_M_11157_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.14,10,0.36,7,0.25,7,0.25,28
106i_AR_1_ECU_1_M_10031_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.07,6,0.21,8,0.28,13,0.45,29
106i_AR_1_IDN_1_M_11046_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.29,9,0.29,6,0.19,7,0.23,31
106i_AR_1_CHN_1_M_10027_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,12,0.4,7,0.23,11,0.37,30
105_AR_F_USA_NA_NA_10791_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.13,29,0.41,21,0.3,11,0.16,70
106i_AR_F_CHN_2_F_10989_PRD.txt.pipe,Jobs,6i_,_F_1,0,0,0,0,0,0,0,0,0
105_AR_F_USA_NA_NA_10679_NAU.txt.pipe,Jobs,5_A,_NA_,7,0.21,10,0.3,10,0.3,6,0.18,33
106i_AR_F_CHN_1_F_10238_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.24,3,0.18,6,0.35,4,0.24,17
106i_AR_1_CHN_1_M_10669_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.11,5,0.14,11,0.31,15,0.43,35
106i_AR_F_CHN_1_M_10010_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.04,13,0.48,5,0.19,8,0.3,27
106i_AR_F_CHN_1_F_10472_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.14,13,0.26,8,0.16,22,0.44,50
105_AR_F_USA_NA_NA_10720_NAU.txt.pipe,Jobs,5_A,_NA_,3,0.08,4,0.11,15,0.41,15,0.41,37
106i_AR_1_MYS_2_M_10378_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.18,11,0.5,3,0.14,4,0.18,22
106i_AR_1_CHN_1_M_10439_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.08,3,0.23,4,0.31,5,0.38,13
105_AR_F_USA_NA_NA_10722_NAU.txt.pipe,Jobs,5_A,_NA_,17,0.26,5,0.08,25,0.38,18,0.28,65
106i_AR_1_KOR_1_M_10635_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.18,20,0.51,4,0.1,8,0.21,39
105_AR_F_USA_NA_NA_10745_NAU.txt.pipe,Jobs,5_A,_NA_,17,0.29,15,0.26,12,0.21,14,0.24,58
106i_AR_1_IND_1_M_10141_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,2,0.25,3,0.38,3,0.38,8
106i_AR_1_IND_1_M_10371_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.2,3,0.2,1,0.07,8,0.53,15
106i_AR_F_CHN_1_M_10521_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.19,12,0.2,13,0.22,23,0.39,59
105_AR_F_USA_NA_NA_10756_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.21,12,0.16,25,0.33,23,0.3,76
106i_AR_1_CHN_1_F_10917_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.1,4,0.19,5,0.24,10,0.48,21
105_AR_F_USA_NA_NA_10661_NAU.txt.pipe,Jobs,5_A,_NA_,3,0.11,5,0.18,6,0.21,14,0.5,28
105_AR_F_USA_NA_NA_10777_NAU.txt.pipe,Jobs,5_A,_NA_,12,0.2,22,0.36,10,0.16,17,0.28,61
106i_AR_F_IND_2_M_10019_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.16,4,0.21,6,0.32,6,0.32,19
106i_AR_1_IND_1_M_10372_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.11,5,0.28,5,0.28,6,0.33,18
106i_AR_1_CHN_1_F_10785_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.16,8,0.25,7,0.22,12,0.38,32
106i_AR_F_CHN_1_M_10338_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.3,9,0.3,2,0.07,10,0.33,30
106i_AR_1_CHN_1_F_10210_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.21,8,0.28,5,0.17,10,0.34,29
106i_AR_F_PAK_1_F_11124_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.04,11,0.42,3,0.12,11,0.42,26
106i_AR_F_CHN_1_M_10333_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.08,8,0.31,7,0.27,9,0.35,26
106i_AR_F_CHN_2_M_10074_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.2,12,0.27,11,0.25,12,0.27,44
106i_AR_1_CHN_1_M_10281_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.12,0,0.0,3,0.19,11,0.69,16
106i_AR_F_TWN_1_M_10062_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.03,12,0.38,9,0.28,10,0.31,32
106i_AR_F_CHN_1_F_10211_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,10,0.34,6,0.21,10,0.34,29
106i_AR_1_IND_2_M_10019_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.13,5,0.33,6,0.4,2,0.13,15
106i_AR_1_CHN_3_M_10946_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.14,10,0.36,10,0.36,4,0.14,28
106i_AR_1_CHN_1_M_10471_PRD.txt.pipe,Jobs,6i_,_M_1,16,0.42,11,0.29,5,0.13,6,0.16,38
106i_AR_1_CHN_3_M_11117_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.18,22,0.37,11,0.18,16,0.27,60
106i_AR_1_CHN_2_M_10744_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,4,0.4,2,0.2,4,0.4,10
106i_AR_F_CHN_1_M_10340_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.05,4,0.2,5,0.25,10,0.5,20
106i_AR_F_IND_1_F_10258_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.17,13,0.43,6,0.2,6,0.2,30
105_AR_F_USA_NA_NA_10687_NAU.txt.pipe,Jobs,5_A,_NA_,15,0.38,6,0.15,6,0.15,12,0.31,39
105_AR_F_USA_NA_NA_10635_NAU.txt.pipe,Jobs,5_A,_NA_,11,0.19,10,0.17,17,0.29,20,0.34,58
106i_AR_F_CHN_1_M_10894_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.17,14,0.3,10,0.21,15,0.32,47
105_AR_F_USA_NA_NA_10650_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.24,20,0.3,13,0.2,17,0.26,66
106i_AR_F_CHN_1_M_10864_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.13,19,0.36,14,0.26,13,0.25,53
106i_AR_1_ECU_1_F_10253_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.08,7,0.18,10,0.26,18,0.47,38
105_AR_F_USA_NA_NA_10751_NAU.txt.pipe,Jobs,5_A,_NA_,18,0.3,10,0.16,9,0.15,24,0.39,61
106i_AR_1_MYS_2_F_10262_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.21,5,0.17,8,0.28,10,0.34,29
106i_AR_1_IND_1_M_10053_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.25,0,0.0,2,0.5,1,0.25,4
106i_AR_1_CHN_1_F_10668_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.15,3,0.11,5,0.19,15,0.56,27
106i_AR_1_CHN_1_M_10291_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.04,10,0.38,6,0.23,9,0.35,26
106i_AR_F_CHN_1_M_10319_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.25,4,0.33,2,0.17,3,0.25,12
106i_AR_1_CHN_1_M_10345_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.17,5,0.28,1,0.06,9,0.5,18
106i_AR_1_CHN_1_F_10856_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.12,9,0.35,8,0.31,6,0.23,26
106i_AR_F_CHN_2_F_10247_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.08,11,0.46,2,0.08,9,0.38,24
106i_AR_F_KOR_1_M_10640_PRD.txt.pipe,Jobs,6i_,_M_1,12,0.21,9,0.16,12,0.21,25,0.43,58
106i_AR_F_KOR_1_M_10636_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.06,9,0.5,6,0.33,2,0.11,18
106i_AR_1_CHN_1_F_10148_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.21,1,0.07,4,0.29,6,0.43,14
106i_AR_1_CHN_1_M_10491_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.38,3,0.38,2,0.25,0,0.0,8
106i_AR_1_CHN_1_M_10823_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.09,6,0.27,6,0.27,8,0.36,22
106i_AR_1_CHN_2_F_10991_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.24,6,0.24,6,0.24,7,0.28,25
106i_AR_1_CHN_1_F_10495_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.04,6,0.25,9,0.38,8,0.33,24
105_AR_F_NAN_NA_NA_10580_NAU.txt.pipe,Jobs,5_A,_NA_,3,0.1,9,0.3,8,0.27,10,0.33,30
106i_AR_F_CHN_1_F_10778_PRD.txt.pipe,Jobs,6i_,_F_1,9,0.33,3,0.11,3,0.11,12,0.44,27
106i_AR_F_CHN_1_F_10476_PRD.txt.pipe,Jobs,6i_,_F_1,8,0.24,10,0.29,6,0.18,10,0.29,34
106i_AR_1_IND_1_F_11162_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.16,4,0.21,6,0.32,6,0.32,19
106i_AR_1_TUR_1_M_10408_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.24,1,0.06,8,0.47,4,0.24,17
106i_AR_F_CHN_4_M_10959_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.11,6,0.22,8,0.3,10,0.37,27
105_AR_F_NAN_NA_NA_10560_NAU.txt.pipe,Jobs,5_A,_NA_,10,0.14,12,0.17,15,0.21,33,0.47,70
106i_AR_F_CHN_1_M_10346_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.26,7,0.3,1,0.04,9,0.39,23
106i_AR_1_MYS_1_F_10712_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,1,1.0,0,0.0,0,0.0,1
105_AR_F_USA_NA_NA_10675_NAU.txt.pipe,Jobs,5_A,_NA_,19,0.27,26,0.37,10,0.14,15,0.21,70
106i_AR_F_VEN_1_M_10397_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.52,1,0.05,3,0.14,6,0.29,21
106i_AR_F_CHN_1_F_11145_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.16,5,0.26,7,0.37,4,0.21,19
106i_AR_F_CHN_1_F_10148_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.13,1,0.07,4,0.27,8,0.53,15
106i_AR_1_TWN_1_M_10394_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.13,23,0.5,6,0.13,11,0.24,46
106i_AR_F_CHN_1_F_10004_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.18,8,0.36,3,0.14,7,0.32,22
106i_AR_1_KOR_1_M_10124_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.24,6,0.29,4,0.19,6,0.29,21
106i_AR_F_CHN_1_M_10678_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.23,6,0.27,2,0.09,9,0.41,22
106i_AR_F_IND_2_M_11135_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.25,5,0.16,6,0.19,13,0.41,32
106i_AR_F_CHN_1_M_10336_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.13,17,0.45,9,0.24,7,0.18,38
105_AR_F_USA_NA_NA_10673_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.22,9,0.22,9,0.22,14,0.34,41
106i_AR_F_CHN_1_M_10345_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.14,5,0.23,3,0.14,11,0.5,22
106i_AR_F_THA_1_M_10653_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.15,3,0.11,10,0.37,10,0.37,27
106i_AR_1_CHN_1_M_10529_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.03,13,0.36,6,0.17,16,0.44,36
106i_AR_1_CHN_1_M_10579_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.19,1,0.04,5,0.19,16,0.59,27
105_AR_F_USA_NA_NA_10727_NAU.txt.pipe,Jobs,5_A,_NA_,11,0.2,17,0.31,12,0.22,14,0.26,54
106i_AR_1_BRZ_1_F_10172_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.12,6,0.23,5,0.19,12,0.46,26
106i_AR_F_CHN_1_F_10568_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.28,6,0.24,5,0.2,7,0.28,25
106i_AR_F_KOR_1_M_10154_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.17,7,0.3,4,0.17,8,0.35,23
106i_AR_F_SAU_1_M_10391_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.09,10,0.31,8,0.25,11,0.34,32
106i_AR_F_ESP_1_F_11092_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.16,18,0.41,8,0.18,11,0.25,44
106i_AR_F_CHN_1_M_10008_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,3,0.15,5,0.25,10,0.5,20
106i_AR_F_CHN_1_F_10023_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.37,4,0.21,4,0.21,4,0.21,19
106i_AR_1_CHN_2_F_10248_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.08,7,0.28,7,0.28,9,0.36,25
106i_AR_1_KOR_1_M_10644_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.08,1,0.08,1,0.08,9,0.75,12
106i_AR_1_CHN_1_F_10897_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.21,5,0.18,6,0.21,11,0.39,28
106i_AR_F_TUR_1_M_10396_PRD.txt.pipe,Jobs,6i_,_M_1,12,0.39,5,0.16,8,0.26,6,0.19,31
106i_AR_1_CHN_1_M_10156_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.15,10,0.29,10,0.29,9,0.26,34
106i_AR_F_CHN_3_M_10356_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,3,0.19,4,0.25,9,0.56,16
106i_AR_1_CHN_1_M_10015_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,8,0.4,3,0.15,7,0.35,20
106i_AR_F_CHN_2_M_10366_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.25,15,0.34,5,0.11,13,0.3,44
106i_AR_F_CHN_1_M_10567_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.13,24,0.51,5,0.11,12,0.26,47
106i_AR_1_CHN_1_F_10799_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.06,4,0.25,1,0.06,10,0.62,16
105_AR_F_NAN_NA_NA_10536_NAU.txt.pipe,Jobs,5_A,_NA_,7,0.3,5,0.22,2,0.09,9,0.39,23
106i_AR_F_CHN_4_F_10245_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,8,0.27,6,0.2,13,0.43,30
106i_AR_1_CHN_1_M_10300_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.07,4,0.27,3,0.2,7,0.47,15
105_AR_F_NAN_NA_NA_10607_NAU.txt.pipe,Jobs,5_A,_NA_,11,0.13,31,0.37,10,0.12,32,0.38,84
106i_AR_F_KOR_1_M_10120_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.14,5,0.18,11,0.39,8,0.29,28
106i_AR_F_CHN_1_M_10915_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.15,5,0.15,10,0.3,13,0.39,33
105_AR_F_NAN_NA_NA_10603_NAU.txt.pipe,Jobs,5_A,_NA_,3,0.06,15,0.31,13,0.27,17,0.35,48
106i_AR_1_KAZ_1_M_11123_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.07,10,0.37,3,0.11,12,0.44,27
105_AR_F_NAN_NA_NA_10570_NAU.txt.pipe,Jobs,5_A,_NA_,8,0.1,20,0.25,15,0.19,36,0.46,79
105_AR_F_USA_NA_NA_10753_NAU.txt.pipe,Jobs,5_A,_NA_,7,0.23,5,0.16,10,0.32,9,0.29,31
106i_AR_F_CHN_1_F_10038_PRD.txt.pipe,Jobs,6i_,_F_1,18,0.44,11,0.27,3,0.07,9,0.22,41
106i_AR_F_CHN_1_M_10491_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.75,0,0.0,1,0.25,0,0.0,4
106i_AR_F_BGD_1_F_10177_PRD.txt.pipe,Jobs,6i_,_F_1,8,0.26,1,0.03,6,0.19,16,0.52,31
105_AR_F_USA_NA_NA_10636_NAU.txt.pipe,Jobs,5_A,_NA_,16,0.31,8,0.16,10,0.2,17,0.33,51
105_AR_F_USA_NA_NA_10764_NAU.txt.pipe,Jobs,5_A,_NA_,19,0.32,19,0.32,11,0.18,11,0.18,60
106i_AR_F_KOR_1_M_10644_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.11,13,0.28,8,0.17,21,0.45,47
106i_AR_F_CHN_1_M_10317_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.31,6,0.23,5,0.19,7,0.27,26
106i_AR_F_CHN_1_M_10326_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.11,6,0.21,7,0.25,12,0.43,28
106i_AR_1_CHN_1_M_10522_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.12,10,0.18,10,0.18,30,0.53,57
105_AR_F_USA_NA_NA_10690_NAU.txt.pipe,Jobs,5_A,_NA_,3,0.38,1,0.12,3,0.38,1,0.12,8
106i_AR_F_NA_1_M_11138_PRD.txt.pipe,Jobs,6i_,M_11,4,0.24,3,0.18,5,0.29,5,0.29,17
106i_AR_F_CHN_1_F_10045_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.17,7,0.2,6,0.17,16,0.46,35
106i_AR_F_MLY_1_F_11151_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.18,3,0.18,1,0.06,10,0.59,17
106i_AR_F_MYS_2_M_10380_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.18,11,0.39,4,0.14,8,0.29,28
