file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_CHN_1_F_10217_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.2,1,0.1,2,0.2,5,0.5,10
105_AR_F_USA_NA_NA_10740_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.2,11,0.24,13,0.29,12,0.27,45
106i_AR_1_CHN_1_F_10105_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,7,0.23,4,0.13,16,0.53,30
106i_AR_F_CHN_2_F_10992_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.22,4,0.22,3,0.17,7,0.39,18
106i_AR_F_CHN_1_M_10271_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.11,11,0.3,7,0.19,15,0.41,37
106i_AR_F_CHN_1_M_10035_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.12,21,0.66,4,0.12,3,0.09,32
106i_AR_1_IND_1_F_10407_PRD.txt.pipe,Jobs,6i_,_F_1,16,0.32,11,0.22,9,0.18,14,0.28,50
106i_AR_1_MYS_2_F_10261_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.3,2,0.1,6,0.3,6,0.3,20
106i_AR_F_CHN_1_M_10129_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.16,3,0.16,3,0.16,10,0.53,19
106i_AR_1_IND_1_M_11019_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.29,2,0.29,1,0.14,2,0.29,7
106i_AR_F_CHN_1_F_10578_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.08,14,0.27,11,0.22,22,0.43,51
106i_AR_1_CHN_1_F_10056_PRD.txt.pipe,Jobs,6i_,_F_1,0,0,0,0,0,0,0,0,0
105_AR_F_NAN_NA_NA_10526_NAU.txt.pipe,Jobs,5_A,_NA_,1,0.04,7,0.25,9,0.32,11,0.39,28
106i_AR_F_CHN_1_M_10335_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.06,10,0.32,6,0.19,13,0.42,31
106i_AR_F_CHN_1_F_10846_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.17,11,0.28,5,0.12,17,0.42,40
106i_AR_F_CHN_1_M_10059_PRD.txt.pipe,Jobs,6i_,_M_1,10,0.27,13,0.35,4,0.11,10,0.27,37
105_AR_F_USA_NA_NA_10723_NAU.txt.pipe,Jobs,5_A,_NA_,7,0.14,13,0.26,12,0.24,18,0.36,50
106i_AR_1_CHN_1_F_10500_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.12,12,0.29,10,0.24,14,0.34,41
106i_AR_1_CHN_1_M_10068_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.03,7,0.23,10,0.33,12,0.4,30
106i_AR_F_MYS_2_F_11054_PRD.txt.pipe,Jobs,6i_,_F_1,9,0.2,11,0.24,12,0.27,13,0.29,45
106i_AR_F_MYS_2_F_10265_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,10,0.33,8,0.27,9,0.3,30
106i_AR_F_CHN_1_F_10206_PRD.txt.pipe,Jobs,6i_,_F_1,12,0.27,19,0.43,4,0.09,9,0.2,44
106i_AR_F_NA_1_M_11114_PRD.txt.pipe,Jobs,6i_,M_11,3,0.14,5,0.23,5,0.23,9,0.41,22
106i_AR_F_CHN_1_M_10474_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.27,13,0.32,4,0.1,13,0.32,41
106i_AR_F_CHN_1_M_10498_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.06,25,0.4,11,0.18,22,0.35,62
106i_AR_1_CHN_3_M_11142_PRD.txt.pipe,Jobs,6i_,_M_1,14,0.25,11,0.2,11,0.2,19,0.35,55
106i_AR_1_CHN_1_M_10684_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.17,15,0.42,6,0.17,9,0.25,36
106i_AR_F_CHN_1_F_10040_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.12,10,0.38,6,0.23,7,0.27,26
106i_AR_1_CHN_1_M_10320_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.2,8,0.23,6,0.17,14,0.4,35
106i_AR_1_KOR_1_F_10267_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.2,9,0.3,4,0.13,11,0.37,30
106i_AR_F_CHN_1_M_10821_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.05,5,0.25,6,0.3,8,0.4,20
106i_AR_1_NA_1_F_11111_PRD.txt.pipe,Jobs,6i_,F_11,6,0.17,10,0.29,11,0.31,8,0.23,35
106i_AR_F_CHN_1_F_10131_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.11,14,0.39,6,0.17,12,0.33,36
106i_AR_F_CHN_1_M_10175_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.18,12,0.32,5,0.13,14,0.37,38
105_AR_F_USA_NA_NA_10620_NAU.txt.pipe,Jobs,5_A,_NA_,12,0.22,11,0.2,12,0.22,19,0.35,54
106i_AR_F_VNM_1_F_10718_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.14,8,0.38,4,0.19,6,0.29,21
106i_AR_F_FRA_1_M_11160_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,2,0.29,1,0.14,4,0.57,7
106i_AR_1_CHN_1_M_10129_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.16,3,0.16,3,0.16,10,0.53,19
106i_AR_1_CHN_1_F_10496_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.05,3,0.14,9,0.41,9,0.41,22
106i_AR_1_CHN_1_F_10208_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.27,5,0.23,3,0.14,8,0.36,22
106i_AR_F_CHN_1_F_10205_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.14,9,0.31,4,0.14,12,0.41,29
105_AR_F_USA_NA_NA_10641_NAU.txt.pipe,Jobs,5_A,_NA_,17,0.21,25,0.31,15,0.19,24,0.3,81
106i_AR_1_CHN_2_M_10171_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.15,7,0.27,6,0.23,9,0.35,26
106i_AR_1_CHN_1_F_10211_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.17,8,0.33,4,0.17,8,0.33,24
106i_AR_F_KOR_1_M_11076_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.16,15,0.39,7,0.18,10,0.26,38
106i_AR_1_CHN_1_F_10117_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.03,9,0.24,8,0.22,19,0.51,37
106i_AR_F_CHN_1_M_10303_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.22,3,0.13,7,0.3,8,0.35,23
105_AR_F_USA_NA_NA_10739_NAU.txt.pipe,Jobs,5_A,_NA_,5,0.25,5,0.25,2,0.1,8,0.4,20
106i_AR_1_CHN_1_F_10213_PRD.txt.pipe,Jobs,6i_,_F_1,12,0.34,4,0.11,7,0.2,12,0.34,35
106i_AR_F_NA_1_M_10660_PRD.txt.pipe,Jobs,6i_,M_10,8,0.19,10,0.24,12,0.29,12,0.29,42
105_AR_F_USA_NA_NA_10658_NAU.txt.pipe,Jobs,5_A,_NA_,8,0.14,21,0.36,16,0.27,14,0.24,59
106i_AR_1_CHN_3_M_10940_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.08,6,0.5,1,0.08,4,0.33,12
106i_AR_1_CHN_1_M_10055_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,0,0.0,1,0.33,2,0.67,3
106i_AR_F_CHN_2_F_10987_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.08,4,0.16,5,0.2,14,0.56,25
106i_AR_F_CHN_1_F_10500_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.13,12,0.27,11,0.24,16,0.36,45
105_AR_F_USA_NA_NA_10672_NAU.txt.pipe,Jobs,5_A,_NA_,18,0.29,17,0.27,10,0.16,18,0.29,63
106i_AR_1_CHN_1_F_10193_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,8,0.35,6,0.26,9,0.39,23
