file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,Comparison N,Comparison %,total lines
W_PAK_SMK0_200_B1_1.txt.json.edus.parse,Smoking,PAK,B1_1,10,0.42,7,0.29,3,0.12,1,0.04,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,24
W_CHN_SMK0_105_B1_1.txt.json.edus.parse,Smoking,CHN,B1_1,4,0.16,5,0.2,3,0.12,3,0.12,3,0.12,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,6,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25
W_THA_SMK0_059_B1_1.txt.json.edus.parse,Smoking,THA,B1_1,7,0.33,3,0.14,5,0.24,0,0.0,2,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0,21
W_JPN_PTJ0_084_A2_0.txt.json.edus.parse,Jobs,JPN,A2_0,9,0.29,3,0.1,7,0.23,3,0.1,6,0.19,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,31
W_IDN_SMK0_054_A2_0.txt.json.edus.parse,Smoking,IDN,A2_0,11,0.32,2,0.06,8,0.24,4,0.12,3,0.09,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,34
W_SIN_PTJ0_184_B1_2.txt.json.edus.parse,Jobs,SIN,B1_2,8,0.29,7,0.25,2,0.07,3,0.11,1,0.04,3,0.11,0,0.0,1,0.04,2,0.07,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_JPN_SMK0_139_B1_1.txt.json.edus.parse,Smoking,JPN,B1_1,7,0.19,8,0.22,8,0.22,3,0.08,5,0.14,1,0.03,0,0.0,3,0.08,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
W_ENS_PTJ0_119_XX_3.txt.json.edus.parse,Jobs,ENS,XX_3,7,0.3,1,0.04,3,0.13,3,0.13,0,0.0,0,0.0,0,0.0,1,0.04,1,0.04,1,0.04,6,0.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23
W_PAK_PTJ0_170_B1_1.txt.json.edus.parse,Jobs,PAK,B1_1,6,0.19,3,0.09,7,0.22,1,0.03,3,0.09,0,0.0,0,0.0,5,0.16,1,0.03,1,0.03,3,0.09,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,32
W_HKG_PTJ0_034_B1_2.txt.json.edus.parse,Jobs,HKG,B1_2,6,0.19,8,0.25,2,0.06,3,0.09,5,0.16,2,0.06,1,0.03,1,0.03,0,0.0,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,32
W_PHL_PTJ0_010_B1_2.txt.json.edus.parse,Jobs,PHL,B1_2,17,0.59,5,0.17,1,0.03,0,0.0,2,0.07,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,29
W_THA_PTJ0_371_A2_0.txt.json.edus.parse,Jobs,THA,A2_0,8,0.28,6,0.21,3,0.1,2,0.07,1,0.03,0,0.0,0,0.0,3,0.1,1,0.03,0,0.0,3,0.1,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,29
W_PHL_SMK0_155_B1_2.txt.json.edus.parse,Smoking,PHL,B1_2,12,0.44,5,0.19,3,0.11,1,0.04,0,0.0,0,0.0,0,0.0,5,0.19,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
W_JPN_PTJ0_075_A2_0.txt.json.edus.parse,Jobs,JPN,A2_0,14,0.26,8,0.15,11,0.2,4,0.07,5,0.09,0,0.0,1,0.02,2,0.04,0,0.0,0,0.0,7,0.13,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,1,0.02,54
W_SIN_PTJ0_153_B1_2.txt.json.edus.parse,Jobs,SIN,B1_2,8,0.3,3,0.11,5,0.19,3,0.11,0,0.0,3,0.11,0,0.0,0,0.0,0,0.0,2,0.07,2,0.07,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
W_THA_SMK0_175_B1_1.txt.json.edus.parse,Smoking,THA,B1_1,5,0.15,8,0.24,7,0.21,1,0.03,0,0.0,3,0.09,0,0.0,4,0.12,0,0.0,4,0.12,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,34
W_PAK_PTJ0_058_B1_1.txt.json.edus.parse,Jobs,PAK,B1_1,2,0.07,1,0.03,13,0.43,6,0.2,1,0.03,0,0.0,0,0.0,0,0.0,3,0.1,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,30
W_CHN_PTJ0_296_B1_1.txt.json.edus.parse,Jobs,CHN,B1_1,8,0.35,4,0.17,1,0.04,4,0.17,0,0.0,3,0.13,0,0.0,2,0.09,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23
